STAID,Name,Station,GaugeLon,GaugeLat,Elev,Continents,Main_climates,Lat_centroid,Lon_centroid,Area,Area_shp,Nested,dLength,dStart,dEnd,DMiss,Q_mean,Flow_mm_yr,P_yr,PET_yr,AI,QP,AI_Basin_ATLAS,Source,FileName,WB_QC,Area_Bias_QC,Data_QC,AI_QC,LAI_multiyr_mean,LAI_trend,LAI_rr,LAI_p,GDAT,GRanD,LC_change_max_abs,dLength_Valid,dStart_1980,dEnd_1980,dLength_Valid_1980,Q_mean_1980,DMiss_1980,dLength_Valid_M,Q_mean_M,DMiss_M,dLength_Valid_M1980,Q_mean_M1980,DMiss_M1980,dStart_M,dEnd_M,dStart_M1980,dEnd_M1980,Region,dor_pc_pva,ire_pc_sse,Trend_group,Annual_group,MainClimates,Area_final
60960000,CAMELS-BR_60960000,barra_do_prata,-52.2131,-18.845,749.7207967,South America,A,-18.7461466,-52.54219082,1232.916,1234.450396,GRDC_3265810,12500,1984/8/19,2018/11/30,0.001756908,7.4963588,190.4400105,1594.613468,1438.599636,1.108448402,0.119427068,0.951818182,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60960000.csv,1,1,1,1,1.287527874,0.009052794,0.585411106,8.67E-08,2.406338738,,0.94108916,12500,1984/8/19,2018/11/30,12500,7.4963588,0.001756908,10931,7.623719239,0.127056381,10931,7.623719239,0.127056381,1984/8/19,2018/11/30,1984/8/19,2018/11/30,SAM,0,0,TRUE,TRUE,equatorial,1232.916
60968000,CAMELS-BR_60968000,cassilandia,-51.7208,-19.1075,700.4256353,South America,A,-18.76643073,-52.34051277,4707.704,4725.092999,GRDC_3265810,12376,1984/1/1,2018/2/28,0.008174387,95.57663058,646.0573188,1573.067457,1444.249971,1.089193345,0.410699055,0.940655738,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60968000.csv,1,1,1,1,1.312135893,0.007117462,0.466581615,6.14E-06,2.82858819,,0.305445324,12376,1984/1/1,2018/2/28,12376,95.57663058,0.008174387,12317,95.66109986,0.012902709,12317,95.66109986,0.012902709,1984/1/1,2018/2/28,1984/1/1,2018/2/28,SAM,0,0,TRUE,TRUE,equatorial,4707.704
60970000,CAMELS-BR_60970000,itaja,-51.5336,-19.1397,681.2225293,South America,A,-18.80369985,-52.27037879,5233.518,5252.775277,GRDC_3265810,16629,1972/7/23,2018/1/31,0,102.366957,618.9598759,1359.755296,1251.496314,1.086503636,0.45519946,0.934852941,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60970000.csv,1,1,1,1,1.332914592,0.006341625,0.412729291,3.17E-05,2.655789833,,0.27391755,16629,1980/1/1,2018/1/31,13911,104.2488291,0,16571,102.4814641,0.003487883,13880,104.3085236,0.002228452,1972/7/23,2018/1/31,1980/1/1,2018/1/31,SAM,0,0,TRUE,TRUE,equatorial,5233.518
61014000,CAMELS-BR_61014000,alagoa,-44.6369,-22.17,1650.934272,South America,C,-22.24889139,-44.67348167,285.8806,285.3715443,GRDC_3265810,26420,1942/6/1,2014/12/31,0.003470127,7.387433081,822.905971,973.233087,574.1558503,1.695067788,0.845538424,1.314545455,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_61014000.csv,1,1,1,1,3.880135473,0.007089917,0.164296597,0.015708803,,,2.523349703,26420,1980/1/1,2014/12/31,12692,7.595977309,0.007196496,24638,7.635478813,0.070684973,12217,7.74022305,0.044352315,1942/6/1,2014/12/31,1980/1/1,2014/12/31,SES,0,0,TRUE,TRUE,warm temperate,285.8806
61045000,CAMELS-BR_61045000,fazenda_paraiba,-44.3542,-21.745,1102.458683,South America,C,-21.91803056,-44.38286012,391.113,392.5130074,GRDC_3265810,28489,1936/7/1,2014/6/30,0,7.808965039,633.6039706,762.1636547,583.5658578,1.306045658,0.831322731,1.111818182,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_61045000.csv,1,1,1,1,1.604556211,0.006825966,0.552334043,3.16E-07,,,0.197681559,28489,1980/1/1,2014/6/30,12600,8.084567937,0,27734,7.913886096,0.026501457,12483,8.12460995,0.009285714,1936/7/1,2014/6/30,1980/1/1,2014/6/30,SES,0,0,TRUE,TRUE,warm temperate,391.113
61052000,CAMELS-BR_61052000,andrelandia,-44.3056,-21.7381,1106.796366,South America,C,-21.85915733,-44.28295553,280.6018,280.2503826,GRDC_3265810,29196,1934/9/28,2014/12/31,0.004059355,5.418882347,611.6117821,718.8903041,569.6913624,1.261894337,0.850772056,1.118,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_61052000.csv,1,1,1,1,1.393451762,0.009908116,0.704731928,2.94E-10,,,0.390613318,29196,1980/1/1,2014/12/31,12665,5.775469246,0.009308511,27215,5.578699761,0.071635681,11668,5.979220261,0.087296621,1934/9/28,2014/12/31,1980/1/1,2014/12/31,SES,0,0,TRUE,TRUE,warm temperate,280.6018
61075000,CAMELS-BR_61075000,luminarias,-44.9156,-21.5061,1088.018494,South America,C,-21.72881369,-44.7748238,991.813,992.9175221,GRDC_3265810,28396,1936/8/3,2014/5/31,0.001055372,19.73579511,630.3205534,741.2246516,589.3299363,1.257741387,0.850377213,1.022222222,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_61075000.csv,1,1,1,1,1.406124838,0.006683976,0.591206722,6.84E-08,,,4.061136473,28396,1980/1/1,2014/5/31,12540,21.37976978,0.002386635,27179,20.23027981,0.04386829,12225,21.68773137,0.027446301,1936/8/3,2014/5/31,1980/1/1,2014/5/31,SES,0,0.166666667,TRUE,TRUE,warm temperate,991.813
61078000,CAMELS-BR_61078000,itumirim,-44.8719,-21.3211,1061.2781,South America,C,-21.60848739,-44.77910652,1818.95,1820.325856,GRDC_3265810,29275,1934/3/8,2014/5/31,0.001023716,33.47311214,585.4823687,723.270926,577.8635704,1.251629213,0.80949247,1.022333333,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_61078000.csv,1,1,1,1,1.38106522,0.006703667,0.61788415,2.20E-08,,,4.40573919,29275,1980/1/1,2014/5/31,12540,36.60829617,0.002386635,29056,33.61563044,0.008496844,12470,36.74277041,0.007955449,1934/3/8,2014/5/31,1980/1/1,2014/5/31,SES,13.76666667,0.133333333,TRUE,TRUE,warm temperate,1818.95
61090000,CAMELS-BR_61090000,barroso,-43.9797,-21.1858,1110.333124,South America,C,-21.29910421,-43.78833781,1008.926,1011.971252,GRDC_3265810,26967,1940/8/1,2014/5/31,0,21.51415385,674.5992155,767.4716464,624.1674455,1.229592559,0.878989105,1.063333333,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_61090000.csv,1,1,1,1,1.708549242,0.006420344,0.402629814,4.25E-05,0.011753977,,1.722304859,26967,1980/1/1,2014/5/31,12570,22.50192347,0,26464,21.74138668,0.018652427,12546,22.52181795,0.001909308,1940/8/1,2014/5/31,1980/1/1,2014/5/31,SES,0,1.095238095,TRUE,TRUE,warm temperate,1008.926
61100000,CAMELS-BR_61100000,ibertioga,-43.9633,-21.4444,1113.420754,South America,C,-21.49412281,-43.90217494,188.7259,188.6720118,GRDC_3265810,26876,1940/8/1,2014/5/31,0.003374495,3.505649167,584.8960572,756.156071,613.8545949,1.23181626,0.773512347,1.091428571,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_61100000.csv,1,1,1,1,1.795045182,0.007773868,0.560834188,2.29E-07,,,1.21725651,26876,1980/1/1,2014/5/31,12479,3.777101851,0.007239459,23965,3.649519174,0.111321244,10918,3.975207639,0.131424025,1940/8/1,2014/5/31,1980/1/1,2014/5/31,SES,0,0.428571429,TRUE,TRUE,warm temperate,188.7259
61105000,CAMELS-BR_61105000,porto_do_elvas,-44.1358,-21.1647,1063.004648,South America,C,-21.36113377,-44.01943776,829.9658,828.3491935,GRDC_3265810,27004,1940/7/25,2014/6/30,0,16.32745638,624.2684565,751.5789866,629.7410195,1.193473132,0.830609247,1.046470588,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_61105000.csv,1,1,1,1,1.431016438,0.007737536,0.620594854,1.95E-08,,,6.804191526,27004,1980/1/1,2014/6/30,12600,17.61097246,0,25771,16.7578172,0.045659902,12275,17.87160758,0.025793651,1940/7/25,2014/6/30,1980/1/1,2014/6/30,SES,0,0.823529412,TRUE,TRUE,warm temperate,829.9658
61107000,CAMELS-BR_61107000,porto_tiradentes,-44.2333,-21.1222,1076.449072,South America,C,-21.25913837,-43.90199761,2698.846,2701.524567,GRDC_3265810,29200,1934/10/21,2014/9/30,0,52.34897723,615.3012348,696.7752431,580.2345618,1.200850982,0.883069887,1.044736842,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_61107000.csv,1,1,1,1,1.544073154,0.007430016,0.569099611,1.66E-07,0.004817526,,3.524117945,29200,1980/1/1,2014/9/30,12692,53.12816294,0,28438,53.13479049,0.02609589,12532,53.50947135,0.012606366,1934/10/21,2014/9/30,1980/1/1,2014/9/30,SES,0,1.184210526,TRUE,TRUE,warm temperate,2698.846
61115000,CAMELS-BR_61115000,usina_sao_joao_del_rei,-44.2111,-21.0525,1074.956776,South America,C,-20.98340733,-43.95647312,605.0852,606.5431281,GRDC_3265810,27845,1935/6/28,2014/5/31,0.034098793,12.87951535,676.1817411,710.525557,615.0669487,1.155200354,0.951664207,0.99875,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_61115000.csv,1,1,1,1,1.518556409,0.008133282,0.640543805,7.90E-09,,,6.914706921,27845,1980/1/1,2014/5/31,12570,13.55494407,0,27034,13.14357269,0.062231164,12247,13.80975357,0.025696102,1935/6/28,2014/5/31,1980/1/1,2014/5/31,SES,0,1.5,TRUE,TRUE,warm temperate,605.0852
